"","Row.names","AA","Group","Shannon","Inv_Simpson","Pielou_evenness","Simpson_evenness","Richness","Chao1","ACE"
"1","A10","dD1","dD1",7.88022088676808,586.750509595785,0.84445162010955,0.0519662128771397,11291,16198.9951716738,16299.7025920694
"2","A100","CKH","CKH",7.69750460364129,293.339156345232,0.825413772002401,0.0261396503604733,11222,16090.8863755918,16301.9248097112
"3","A101","CKH","CKH",7.69823104121519,291.8439372377,0.825294736437715,0.0259486029374678,11247,15842.6833248343,16173.3296849523
"4","A102","CKH","CKH",7.70351455693454,303.231481143144,0.826493659176725,0.0271542474382684,11167,15626.4661885246,15945.8613994834
"5","A11","dD1","dD1",7.88061088608609,579.396237722857,0.844189465895517,0.0511427520277922,11329,15870.8749354005,16094.4632654208
"6","A12","dD1","dD1",7.89196012542424,598.152135739871,0.845125963449887,0.0526357036025934,11364,16020.9621172807,16244.6628847353
"7","A25","dD100","dD100",7.79274661328018,421.649063832215,0.836252157202277,0.0378364199418714,11144,15756.5159574468,15963.4343453436
"8","A26","dD100","dD100",7.79884855706106,441.067230922369,0.836963401332291,0.0396037739896174,11137,15491.6661608498,15921.2027517236
"9","A27","dD100","dD100",7.79195635018794,431.58207406375,0.835982390688805,0.0386479872896704,11167,15997.191591272,16230.7528350466
"10","A28","dD100","dD100",7.79274393844165,424.341168888437,0.836308260727092,0.0381019277083987,11137,15941.7828200972,16076.5126914237
"11","A29","dD100","dD100",7.79902757777358,440.947172704282,0.836781253850944,0.0395043157771261,11162,15676.8845955693,16029.4733927577
"12","A30","dD100","dD100",7.79158505155484,427.821856170316,0.836159721266931,0.0384041163528112,11140,15914.5930922828,16060.235930205
"13","A43","dH1","dH1",7.79473073550119,430.581245006024,0.835751658034735,0.0383318120721111,11233,16062.2309767944,16140.0710166389
"14","A44","dH1","dH1",7.79510863707361,409.306067642479,0.834291785020178,0.0358317488963039,11423,16324.625,16545.0967756961
"15","A45","dH1","dH1",7.78519423170231,419.113937663596,0.834530232791929,0.0372280989219751,11258,15642.2872180451,16069.9002369058
"16","A46","dH1","dH1",7.77647860510707,411.814600174914,0.834017843299891,0.0367527532507732,11205,15673.170169144,15990.8959850512
"17","A47","dH1","dH1",7.78738012127041,419.835284314188,0.835242996858724,0.0374919882402382,11198,16042.5865800866,16117.6961810095
"18","A48","dH1","dH1",7.77348997702851,411.032964115612,0.833307344140978,0.0365232774227486,11254,16224.3412698413,16458.4393418319
"19","A61","dH100","dH100",7.55601042212177,248.501408621369,0.813471671547416,0.0229796013150886,10814,15737.7834075724,15878.7906486536
"20","A62","dH100","dH100",7.54198916542983,236.470615199189,0.812245638844883,0.0219380847202142,10779,15315.5245283019,15612.7241904513
"21","A63","dH100","dH100",7.55742404214796,240.61916243772,0.81310731384914,0.0221197979810369,10878,15717.5451066156,15889.8378150062
"22","A64","dH100","dH100",7.54633597189315,240.040183219131,0.813031156114924,0.0223501101693791,10740,15310.0951072018,15510.8667755874
"23","A65","dH100","dH100",7.54186284025023,238.528824611747,0.812614465850908,0.0222259434040018,10732,15357.8952908587,15496.0770011159
"24","A66","dH100","dH100",7.55010972268258,238.439386825864,0.812473177718453,0.0219577665370535,10859,15562.6607142857,15787.9338625806
"25","A7","dD1","dD1",7.87996232767792,593.640666894205,0.844898261216383,0.0528526234770482,11232,15789.7297014144,16021.2114674495
"26","A79","CKD","CKD",7.85278017389271,484.537063351468,0.840244066769248,0.0423139519126249,11451,16512.7786136486,16466.1643463978
"27","A8","dD1","dD1",7.88287344874998,584.874019512161,0.844792012876238,0.0518321534484368,11284,15933.0137931034,16040.3501199848
"28","A80","CKD","CKD",7.83854926957898,485.408105053006,0.838996175336754,0.0425199811714266,11416,16278.2903726708,16495.7184294768
"29","A81","CKD","CKD",7.85180216146185,482.625001205598,0.839607510653096,0.0418981683484328,11519,16263.3279187817,16475.127261484
"30","A82","CKD","CKD",7.85611522353811,490.000217386153,0.840420477936181,0.0427052655905659,11474,16327.8151001541,16586.8694954804
"31","A83","CKD","CKD",7.8470089450138,479.415167241042,0.839391554111013,0.0417572656772966,11481,16215.6374745418,16410.4159121267
"32","A84","CKD","CKD",7.84639283676795,484.763781835021,0.839788478663831,0.0424412346204711,11422,15985.564,16338.338171015
"33","A9","dD1","dD1",7.87303782450808,589.58195653283,0.84446265607054,0.0526694619021645,11194,15749.4081095313,15986.8353789024
"34","A97","CKH","CKH",7.68967511158751,294.621874022085,0.825056428145624,0.0263974441378089,11161,15829.8442834972,16177.0920915189
"35","A98","CKH","CKH",7.71547286980068,308.154598255207,0.826734324231546,0.0272727319457658,11299,16307.7108879493,16406.781131951
"36","A99","CKH","CKH",7.69770880007986,294.432363736647,0.825089445847982,0.0261345964616232,11266,16199.2671197073,16446.0456532481
