"","x","y","Group","ID"
"A10",-97.2737429307325,-63.0061682143388,"dD1","A10"
"A100",103.699231522701,17.0409470791057,"CKH","A100"
"A101",103.699231522701,17.0409470791057,"CKH","A101"
"A102",103.699231522701,17.0409470791057,"CKH","A102"
"A11",-97.2737429307325,-63.0061682143388,"dD1","A11"
"A12",-97.2737429307325,-63.0061682143388,"dD1","A12"
"A25",-91.2283112618779,14.3794208319363,"dD100","A25"
"A26",-91.2283112618779,14.3794208319363,"dD100","A26"
"A27",-91.2283112618779,14.3794208319363,"dD100","A27"
"A28",-91.2283112618779,14.3794208319363,"dD100","A28"
"A29",-91.2283112618779,14.3794208319363,"dD100","A29"
"A30",-91.2283112618779,14.3794208319363,"dD100","A30"
"A43",83.9456809777628,-99.9204249158863,"dH1","A43"
"A44",83.9456809777628,-99.9204249158863,"dH1","A44"
"A45",83.9456809777628,-99.9204249158863,"dH1","A45"
"A46",83.9456809777628,-99.9204249158863,"dH1","A46"
"A47",83.9456809777628,-99.9204249158863,"dH1","A47"
"A48",83.9456809777628,-99.9204249158863,"dH1","A48"
"A61",95.4976909672982,74.9430563562276,"dH100","A61"
"A62",95.4976909672982,74.9430563562276,"dH100","A62"
"A63",95.4976909672981,74.9430563562276,"dH100","A63"
"A64",95.4976909672982,74.9430563562276,"dH100","A64"
"A65",95.4976909672982,74.9430563562276,"dH100","A65"
"A66",95.4976909672981,74.9430563562276,"dH100","A66"
"A7",-97.2737429307325,-63.0061682143388,"dD1","A7"
"A79",-94.6405492751518,56.5631688629556,"CKD","A79"
"A8",-97.2737429307325,-63.0061682143388,"dD1","A8"
"A80",-94.6405492751518,56.5631688629556,"CKD","A80"
"A81",-94.6405492751518,56.5631688629556,"CKD","A81"
"A82",-94.6405492751518,56.5631688629556,"CKD","A82"
"A83",-94.6405492751518,56.5631688629556,"CKD","A83"
"A84",-94.6405492751518,56.5631688629556,"CKD","A84"
"A9",-97.2737429307325,-63.0061682143388,"dD1","A9"
"A97",103.699231522701,17.0409470791057,"CKH","A97"
"A98",103.699231522701,17.0409470791057,"CKH","A98"
"A99",103.699231522701,17.0409470791057,"CKH","A99"
